book_id,title,book_description
149572,The Odessa File,"The suicide of an elderly German Jew explodes into revelation after revelation: a Mafia-like organization called Odessa, a real-life fugitive known at the ""Butcher of Riga"", a young German journalist turned obsessed avenger...and ultimately, of a brilliant, ruthless plot to reestablish the worldwide power of SS mass murders and to carry out Hitler's chilling ""Final Solutio
  The suicide of an elderly German Jew explodes into revelation after revelation: a Mafia-like organization called Odessa, a real-life fugitive known at the ""Butcher of Riga"", a young German journalist turned obsessed avenger...and ultimately, of a brilliant, ruthless plot to reestablish the worldwide power of SS mass murders and to carry out Hitler's chilling ""Final Solution.""
  ...more"
18753581,An Illustrated Book of Bad Arguments,"This book is aimed at newcomers to the field of logical reasoning, particularly those who, to borrow a phrase from Pascal, are so made that they understand best through visuals. I have selected a small set of common errors in reasoning and visualized them using memorable illustrations that are supplemented with lots of examples. The hope is that the reader will learn from
  This book is aimed at newcomers to the field of logical reasoning, particularly those who, to borrow a phrase from Pascal, are so made that they understand best through visuals. I have selected a small set of common errors in reasoning and visualized them using memorable illustrations that are supplemented with lots of examples. The hope is that the reader will learn from these pages some of the most common pitfalls in arguments and be able to identify and avoid them in practice.
  ...more"
24875398,The Outsider: My Life in Intrigue,"From Frederick Forsyth, the grand master of international suspense, comes his most intriguing story ever—his own. For more than forty years, Frederick Forsyth has been writing extraordinary real-world novels of intrigue, from the groundbreaking The Day of the Jackal to the prescient The Kill List. Whether writing about the murky world of arms dealers, the shadowy Nazi und
  From Frederick Forsyth, the grand master of international suspense, comes his most intriguing story ever—his own. For more than forty years, Frederick Forsyth has been writing extraordinary real-world novels of intrigue, from the groundbreaking The Day of the Jackal to the prescient The Kill List. Whether writing about the murky world of arms dealers, the shadowy Nazi underground movement, or the intricacies of worldwide drug cartels, every plot has been chillingly plausible because every detail has been minutely researched.But what most people don’t know is that some of his greatest stories of intrigue have been in his own life.He was the RAF’s youngest pilot at the age of nineteen, barely escaped the wrath of an arms dealer in Hamburg, got strafed by a MiG during the Nigerian civil war, landed during a bloody coup in Guinea-Bissau (and was accused of helping fund a 1973 coup in Equatorial Guinea). The Stasi arrested him, the Israelis feted him, the IRA threatened him, and a certain attractive Czech secret police agent—well, her actions were a bit more intimate. And that’s just for starters.It is a memoir like no other—and a book of pure delight.
  ...more"
16361,"The Secret of Chimneys (Superintendent Battle, #1)","A bit of adventure and quick cash is all that good-natured drifter Anthony Cade is looking for when he accepts a messenger job from an old friend. It sounds so simple: deliver the provocative memoirs of a recently deceased European count to a London publisher. But the parcel holds more than scandalous royal secrets. It contains a stash of letters that suggest blackmail --
  A bit of adventure and quick cash is all that good-natured drifter Anthony Cade is looking for when he accepts a messenger job from an old friend. It sounds so simple: deliver the provocative memoirs of a recently deceased European count to a London publisher. But the parcel holds more than scandalous royal secrets. It contains a stash of letters that suggest blackmail -- and lead to the murder of a stranger who's been shadowing Anthony's every move. Discovering the dead man's identity means retracing his steps -- to the rambling estate of Chimneys where darker secrets, and deadlier threats, await anyone who dares to enter.
  ...more"
786533,The Devil's Dictionary,"History, n. an account mostly false, of events mostly unimportant, which are brought about by rulers mostly knaves, and soldiers mostly fools. Marriage, n. The state or condition of a community consisting of a master, a mistress, and two slaves, making in all two. Self-Esteem, n. An erroneous appraisement. These caustic aphorisms, collected in The Devil's Dictionary, helpe
  History, n. an account mostly false, of events mostly unimportant, which are brought about by rulers mostly knaves, and soldiers mostly fools. Marriage, n. The state or condition of a community consisting of a master, a mistress, and two slaves, making in all two. Self-Esteem, n. An erroneous appraisement. These caustic aphorisms, collected in The Devil's Dictionary, helped earn reporter Ambrose Bierce the epithet's Bitter Bierce, the Devil's Lexicographer, and the Wickedest Man in San Francisco. First published as The Cynic's Word Book (1906) and later reissued under its preferred title in 1911, Bierce's notorious collection of barbed definitions forcibly contradicts Samuel Johnson's earlier definition of a lexicographer as a harmless drudge.
  ...more"
216487,The Highly Selective Thesaurus for the Extraordinarily Literate,Anyone looking to improve his or her vocabulary and anyone who loves words will be enthralled by this unique and impressive thesaurus that provides only the most unusual -- or is it recondite? --words for each entry.
24865145,Visualization Analysis and Design (AK Peters Visualization Series),"This book provides a systematic, comprehensive framework for thinking about visualization in terms of principles and design choices. It features a unified approach encompassing information visualization techniques for abstract data, scientific visualization techniques for spatial data, and visual analytics techniques for interweaving data transformation and analysis with i
  This book provides a systematic, comprehensive framework for thinking about visualization in terms of principles and design choices. It features a unified approach encompassing information visualization techniques for abstract data, scientific visualization techniques for spatial data, and visual analytics techniques for interweaving data transformation and analysis with interactive visual exploration. Suitable for both beginners and more experienced designers, the book does not assume any experience with programming, mathematics, human–computer interaction, or graphic design.
  ...more"
29496076,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"From New Yorker staff writer David Grann, #1 New York Times best-selling author of The Lost City of Z, a twisting, haunting true-life murder mystery about one of the most monstrous crimes in American historyIn the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rod
  From New Yorker staff writer David Grann, #1 New York Times best-selling author of The Lost City of Z, a twisting, haunting true-life murder mystery about one of the most monstrous crimes in American historyIn the 1920s, the richest people per capita in the world were members of the Osage Indian Nation in Oklahoma. After oil was discovered beneath their land, the Osage rode in chauffeured automobiles, built mansions, and sent their children to study in Europe.Then, one by one, they began to be killed off. One Osage woman, Mollie Burkhart, watched as her family was murdered. Her older sister was shot. Her mother was then slowly poisoned. And it was just the beginning, as more Osage began to die under mysterious circumstances.In this last remnant of the Wild West—where oilmen like J. P. Getty made their fortunes and where desperadoes such as Al Spencer, “the Phantom Terror,” roamed – virtually anyone who dared to investigate the killings were themselves murdered. As the death toll surpassed more than twenty-four Osage, the newly created F.B.I. took up the case, in what became one of the organization’s first major homicide investigations. But the bureau was then notoriously corrupt and initially bungled the case. Eventually the young director, J. Edgar Hoover, turned to a former Texas Ranger named Tom White to try unravel the mystery. White put together an undercover team, including one of the only Native American agents in the bureau. They infiltrated the region, struggling to adopt the latest modern techniques of detection. Together with the Osage they began to expose one of the most sinister conspiracies in American history.In Killers of the Flower Moon, David Grann revisits a shocking series of crimes in which dozens of people were murdered in cold blood. The book is a masterpiece of narrative nonfiction, as each step in the investigation reveals a series of sinister secrets and reversals. But more than that, it is a searing indictment of the callousness and prejudice toward Native Americans that allowed the murderers to operate with impunity for so long. Killers of the Flower Moon is utterly riveting, but also emotionally devastating.
  ...more"
310226,Destination Unknown,"Thomas Charles Betterton, a famous scientist, has vanished. Conflicting reports of sightings of the missing man have come in from all over Europe. Then, his wife of six months decides to take a holiday to Morocco for a rest.That's when a strange and surprising series of events begins to unfold. A superb and different mystery from a master at her best."
867251,The Superior Person's Book of Words,"Are you an Anglophile? (Stout fellow!) Just stand at this springboard and leave the fields of popinjay jabber and tongue-stumped battology behind forever! Stop up for big dividends in the giddy heights of superior speech. Peter Bowler will teach you the practical riches of saying it well with good words, neglected words, and precise words for vocabular exultation!"
49596,The Secret Adversary (Tommy and Tuppence #1),"Tommy and Tuppence, two young people short of money and restless for excitement, embark on a daring business scheme – Young Adventurers Ltd.Their advertisement says they are ‘willing to do anything, go anywhere’. But their first assignment, for the sinister Mr Whittington, plunges them into more danger than they ever imagined…"
31421117,Tears We Cannot Stop: A Sermon to White America,"Short, emotional, literary, powerful―Tears We Cannot Stop is the book that all Americans who care about the current and long-burning crisis in race relations will want to read.As the country grapples with racist division at a level not seen since the 1960s, one man's voice soars above the rest with conviction and compassion. In his 2016 New York Times op-ed piece ""Death in
  Short, emotional, literary, powerful―Tears We Cannot Stop is the book that all Americans who care about the current and long-burning crisis in race relations will want to read.As the country grapples with racist division at a level not seen since the 1960s, one man's voice soars above the rest with conviction and compassion. In his 2016 New York Times op-ed piece ""Death in Black and White,"" Michael Eric Dyson moved a nation. Now he continues to speak out in Tears We Cannot Stop―a provocative and deeply personal call for change. Dyson argues that if we are to make real racial progress we must face difficult truths, including being honest about how black grievance has been ignored, dismissed, or discounted.The time is at hand for reckoning with the past, recognizing the truth of the present, and moving together to redeem the nation for our future. If we don't act now, if you don't address race immediately, there very well may be no future.
  ...more"
12868761,Let's Pretend This Never Happened: A Mostly True Memoir,"For fans of Tina Fey and David Sedaris—Internet star Jenny Lawson, aka The Bloggess, makes her literary debut. Jenny Lawson realized that the most mortifying moments of our lives—the ones we’d like to pretend never happened—are in fact the ones that define us. In the #1 New York Times bestseller, Let’s Pretend This Never Happened, Lawson takes readers on a hilarious jour
  For fans of Tina Fey and David Sedaris—Internet star Jenny Lawson, aka The Bloggess, makes her literary debut. Jenny Lawson realized that the most mortifying moments of our lives—the ones we’d like to pretend never happened—are in fact the ones that define us. In the #1 New York Times bestseller, Let’s Pretend This Never Happened, Lawson takes readers on a hilarious journey recalling her bizarre upbringing in rural Texas, her devastatingly awkward high school years, and her relationship with her long-suffering husband, Victor. Chapters include: “Stanley the Magical, Talking Squirrel”; “A Series of Angry Post-It Notes to My Husband”; “My Vagina Is Fine. Thanks for Asking”; “And Then I Snuck a Dead Cuban Alligator on an Airplane.” Pictures with captions (no one would believe these things without proof) accompany the text.
  ...more"
24724228,"The Witch of Lime Street: S̩ance, Seduction, and Houdini in the Spirit World","History comes alive in this textured account of the rivalry between Harry Houdini and the so-called Witch of Lime Street, whose iconic lives intersected at a time when science was on the verge of embracing the paranormal.The 1920s are famous as the golden age of jazz and glamour, but it was also an era of fevered yearning for communion with the spirit world, after the loss
  History comes alive in this textured account of the rivalry between Harry Houdini and the so-called Witch of Lime Street, whose iconic lives intersected at a time when science was on the verge of embracing the paranormal.The 1920s are famous as the golden age of jazz and glamour, but it was also an era of fevered yearning for communion with the spirit world, after the loss of tens of millions in the First World War and the Spanish-flu epidemic. A desperate search for reunion with dead loved ones precipitated a tidal wave of self-proclaimed psychics—and, as reputable media sought stories on occult phenomena, mediums became celebrities. Against this backdrop, in 1924, the pretty wife of a distinguished Boston surgeon came to embody the raging national debate over Spiritualism, a movement devoted to communication with the dead. Reporters dubbed her the blonde Witch of Lime Street, but she was known to her followers simply as Margery. Her most vocal advocate was none other than Sherlock Holmes' creator Sir Arthur Conan Doyle, who believed so thoroughly in Margery's powers that he urged her to enter a controversial contest, sponsored by Scientific American and offering a large cash prize to the first medium declared authentic by its impressive five-man investigative committee.  Admired for both her exceptional charm and her dazzling effects, Margery was the best hope for the psychic practice to be empirically verified.  Her supernatural gifts beguiled four of the judges. There was only one left to convince...the acclaimed escape artist, Harry Houdini.David Jaher's extraordinary debut culminates in the showdown between Houdini, a relentless unmasker of charlatans, and Margery, the nation's most credible spirit medium. The Witch of Lime Street, the first book to capture their electric public rivalry and the competition that brought them into each other’s orbit, returns us to an oft-mythologized era to deepen our understanding of its history, all while igniting our imagination and engaging with the timeless question: Is there life after death?
  ...more"
1797248,If I did it : Confessions of the Killer,"In 1994, Ron Goldman and Nicole Brown Simpson were brutally murdered at her home in Brentwood, California. O.J. Simpson was tried for the crime in a case that captured the attention of the American people, but was ultimately found not guilty of criminal charges. The victims' families brought a civil case against Simpson, and he was found liable for willfully and wrongfully
  In 1994, Ron Goldman and Nicole Brown Simpson were brutally murdered at her home in Brentwood, California. O.J. Simpson was tried for the crime in a case that captured the attention of the American people, but was ultimately found not guilty of criminal charges. The victims' families brought a civil case against Simpson, and he was found liable for willfully and wrongfully causing the deaths of Ron and Nicole by committing battery with malice and oppression.In 2006, HarperCollins announced the publication of a book, titled If I Did It, in which O.J. Simpson told how he hypothetically would have committed the murders. In response to public outrage that Simpson stood to profit from these crimes, HarperCollins canceled the book. A Florida bankruptcy court awarded the rights to the Goldmans in August 2007 to partially satisfy the unpaid civil judgment, which has risen to over $38 million with interest.The Goldman family views this book as his confession and has worked hard to ensure that the public will read this book and learn the truth. This is the original manuscript approved by O.J. Simpson, with a subtitle added by the Goldman family and up to 14,000 words of additional commentary.A portion of the proceeds will be donated to the Ron Goldman Foundation for Justice.
  ...more"
23848559,Furiously Happy: A Funny Book About Horrible Things,"In LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.According
  In LET'S PRETEND THIS NEVER HAPPENED, Jenny Lawson baffled readers with stories about growing up the daughter of a taxidermist. In her new book, FURIOUSLY HAPPY, Jenny explores her lifelong battle with mental illness. A hysterical, ridiculous book about crippling depression and anxiety? That sounds like a terrible idea. And terrible ideas are what Jenny does best.According to Jenny: ""Some people might think that being 'furiously happy' is just an excuse to be stupid and irresponsible and invite a herd of kangaroos over to your house without telling your husband first because you suspect he would say no since he's never particularly liked kangaroos. And that would be ridiculous because no one would invite a herd of kangaroos into their house. Two is the limit. I speak from personal experience. My husband says that none is the new limit. I say he should have been clearer about that before I rented all those kangaroos.""""Most of my favorite people are dangerously fucked-up but you'd never guess because we've learned to bare it so honestly that it becomes the new normal. Like John Hughes wrote in The Breakfast Club, 'We're all pretty bizarre. Some of us are just better at hiding it.' Except go back and cross out the word 'hiding.'""Jenny's first book, LET'S PRETEND THIS NEVER HAPPENED, was ostensibly about family, but deep down it was about celebrating your own weirdness. FURIOUSLY HAPPY is a book about mental illness, but under the surface it's about embracing joy in fantastic and outrageous ways-and who doesn't need a bit more of that?
  ...more"
22571553,"That's Not English: Britishisms, Americanisms, and What Our English Says About Us","An expat’s witty, insightful exploration of English and American cultural differences through the lens of language.A lifelong Anglophile, Erin Moore was born and raised in Florida, where the sun shines and the tea is always iced. But by the time she fulfilled her dream of moving to London, she had vacationed in the UK, worked as an editor with British authors, and married
  An expat’s witty, insightful exploration of English and American cultural differences through the lens of language.A lifelong Anglophile, Erin Moore was born and raised in Florida, where the sun shines and the tea is always iced. But by the time she fulfilled her dream of moving to London, she had vacationed in the UK, worked as an editor with British authors, and married into an English American family. The last thing she was expecting was a crash course in culture shock, as she figured out (hilariously, painfully) just how different England and America really are. And the first thing she learned was to take nothing for granted, even the language these two countries supposedly share.In That’s Not English, the seemingly superficial variations between British and American vocabulary open the door to a deeper exploration of historical and cultural differences. Each chapter begins with a single word and takes the reader on a wide-ranging expedition, drawing on diverse and unexpected sources. In Quite, Moore examines the tension between English reserve and American enthusiasm. In Gobsmacked, she reveals the pervasive influence of the English on American media; in Moreish, she compares snacking habits. In Mufti, she considers clothes; in Pull, her theme is dating and sex; Cheers is about drinking; and Knackered addresses parenthood. Moore shares the lessons she’s had to learn the hard way, and uncovers some surprising and controversial truths: for example, the “stiff upper lip” for which the English are known, was an American invention; while tipping, which Americans have raised to a high art, was not. American readers will find out why bloody is far more vulgar than they think, what the English mean when they say “proper,” and why it is better to be bright than clever. English readers will discover that not all Americans are Yankees, and why Americans give—and take—so many bloody compliments, and never, ever say shall. (Well, hardly ever.)That’s Not English is a transatlantic survival guide, and a love letter to two countries that owe each other more than they would like to admit.
  ...more"
16331,"Murder at the Vicarage (Miss Marple, #1)","Murder at the Vicarage marks the debut of Agatha Christie’s unflappable and much beloved female detective, Miss Jane Marple. With her gift for sniffing out the malevolent side of human nature, Miss Marple is led on her first case to a crime scene at the local vicarage. Colonel Protheroe, the magistrate whom everyone in town hates, has been shot through the head. No one hea
  Murder at the Vicarage marks the debut of Agatha Christie’s unflappable and much beloved female detective, Miss Jane Marple. With her gift for sniffing out the malevolent side of human nature, Miss Marple is led on her first case to a crime scene at the local vicarage. Colonel Protheroe, the magistrate whom everyone in town hates, has been shot through the head. No one heard the shot. There are no leads. Yet, everyone surrounding the vicarage seems to have a reason to want the Colonel dead. It is a race against the clock as Miss Marple sets out on the twisted trail of the mysterious killer without so much as a bit of help from the local police.
  ...more"
16341,"The Moving Finger (Miss Marple, #4)","The placid village of Lymstock seems the perfect place for Jerry Burton to recuperate from his accident under the care of his sister, Joanna. But soon a series of vicious poison-pen letters destroys the village's quiet charm, eventually causing one recipient to commit suicide. The vicar, the doctor, the servants—all are on the verge of accusing one another when help arrive
  The placid village of Lymstock seems the perfect place for Jerry Burton to recuperate from his accident under the care of his sister, Joanna. But soon a series of vicious poison-pen letters destroys the village's quiet charm, eventually causing one recipient to commit suicide. The vicar, the doctor, the servants—all are on the verge of accusing one another when help arrives from an unexpected quarter. The vicar's houseguest happens to be none other than Jane Marple.
  ...more"
